#OTU ID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24	Sample_25	Sample_26	Sample_27	Sample_28	Sample_29	Sample_30	Sample_31	Sample_32	Sample_33	Sample_34	Sample_35	Sample_36	Sample_37	Sample_38	Sample_39	Sample_40	Sample_41	Sample_42	Sample_43	Sample_44	Sample_45	Sample_46	Sample_47	Sample_48	Sample_49
ARGORNPROST-PWY:_arginine,_ornithine_and_proline_interconversion	1.21101e-05	1.88017e-05	0.0	1.01689e-05	2.02503e-05	1.05913e-05	0.0	0.0	1.6161e-05	1.62445e-05	0.0	0.0	1.06895e-06	3.35317e-05	0.0	0.0	2.8735e-05	2.41741e-05	0.0	0.0	0.0	1.69568e-05	0.0	0.0	5.252e-06	0.0	5.31953e-06	0.0	0.0	0.0	1.45343e-05	2.93532e-06	0.0	0.0	0.0	8.63319e-06	0.0	1.88234e-05	1.09227e-05	9.88835e-06	1.55124e-05	1.4334e-05	5.67201e-07	3.24677e-06	2.47087e-06	0.0	0.0	4.75374e-06	9.55371e-07
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	0.000147789	0.000202978	7.8032e-05	0.000151551	8.7872e-05	0.000315871	0.0	0.000234835	0.0001945	7.44486e-05	4.93669e-05	0.000681897	0.000303942	0.000175079	0.000257154	0.000181558	0.000216113	0.000143166	0.000151231	4.37509e-05	0.0	0.000286319	0.0	0.000274448	0.000187643	0.000122192	7.86756e-05	0.000444138	0.000179324	0.000200362	0.000383619	0.000271244	0.000312412	6.59898e-05	0.000425484	0.000355628	0.00028771	0.000237749	7.48509e-05	0.000383206	0.000133128	0.000162459	0.000351421	4.98215e-05	0.000156686	0.000103191	1.86327e-05	0.000361545	0.000295993
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	0.000121324	0.00011416	1.80497e-05	9.2487e-05	8.31424e-05	0.000240633	0.0	0.000211116	0.000122792	4.13505e-05	0.0	0.000650853	0.000312923	1.90302e-05	0.000263907	0.000106259	0.000130261	8.1715e-05	8.08928e-05	3.50077e-05	0.0	0.000167924	0.0	0.000151884	8.58067e-05	5.73471e-05	3.52563e-05	0.000409423	0.000170243	0.000195049	0.000324105	0.000267381	0.000301264	6.45117e-05	0.000383454	0.000299001	0.000273172	0.000183331	1.79716e-05	0.000348816	8.81739e-05	0.000151372	0.000365672	3.59435e-05	4.60625e-05	0.000105898	1.19866e-05	0.000237614	0.000296334
ARO-PWY:_chorismate_biosynthesis_I	0.000206895	0.000288859	0.000130551	0.00012758	6.92868e-05	0.000580228	0.0	0.000198443	0.000413982	0.000215988	0.000134266	0.000635105	0.000251869	0.000556162	0.000435567	0.000412302	0.000477275	0.000487009	0.000362356	5.14327e-05	0.0	0.000510404	0.0	0.000295355	0.00052634	0.00053499	0.00037561	0.000337396	7.22339e-05	0.000190045	0.000374919	0.000216786	9.33291e-05	3.82143e-05	0.000181984	0.000338692	0.000266471	0.000378906	0.000140093	0.000320896	0.000344449	0.000155297	0.000282475	6.67098e-05	0.000175365	8.84406e-05	3.49453e-05	0.00043612	0.000249676
ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	0.000156641	0.000235288	9.18898e-05	0.000181214	0.00014843	0.000471265	0.0	0.000339779	0.00031904	0.000154818	0.000128565	0.000750149	0.000455942	0.000453498	0.000321777	0.000280851	0.000342751	0.000591799	0.00029932	5.57006e-05	0.0	0.000342928	0.0	0.000208433	0.000362776	0.000391044	0.000285865	0.000654853	0.000217657	0.000220535	0.000337787	0.00030855	0.000335997	8.57782e-05	0.000235608	0.000270686	0.000290864	0.000285917	0.000134849	0.000512315	0.000577705	0.000235757	0.000570855	6.77498e-05	0.00019948	0.000153437	2.58915e-05	0.000506075	0.0005031
AST-PWY:_L-arginine_degradation_II_(AST_pathway)	2.62223e-06	1.59455e-05	3.32347e-06	7.64177e-06	3.05758e-05	9.23324e-06	0.0	0.000103788	1.23452e-05	0.0	0.0	3.04863e-05	0.000100865	0.0	0.0	1.61756e-05	1.17138e-05	5.93556e-06	0.0	0.0	0.0	4.44722e-05	0.0	5.63373e-05	7.26686e-07	1.56751e-06	2.06038e-06	8.27478e-05	0.000179376	0.000166041	7.00931e-05	0.000126024	0.000306932	1.5954e-05	0.00033527	0.000165566	8.20128e-05	2.29507e-05	1.32572e-06	9.47364e-05	5.29587e-06	3.08609e-05	0.000143162	0.0	2.91025e-06	4.08523e-05	4.65047e-07	2.44885e-05	0.000102114
BIOTIN-BIOSYNTHESIS-PWY:_biotin_biosynthesis_I	6.47225e-05	9.41316e-05	2.51325e-05	5.43525e-05	6.58544e-05	6.75419e-05	0.0	0.000204764	7.28685e-05	5.70647e-05	3.58489e-06	0.000180644	0.000282618	6.06308e-05	3.43455e-05	3.10763e-05	6.83993e-05	5.96984e-05	0.0	0.0	0.0	0.00012746	0.0	0.00015368	3.14279e-05	2.54429e-05	3.18275e-05	0.000265782	4.69995e-05	0.000139005	0.00021692	0.000210445	6.27719e-05	3.13467e-05	0.0	0.000248028	0.000161009	0.000115087	2.85935e-05	0.000232895	7.66222e-05	0.000115457	0.000352111	6.34853e-06	7.93641e-05	0.000106498	4.0477e-06	0.000255269	0.000293965
BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_amino_acid_biosynthesis	0.000232988	0.000319552	0.000155838	0.000165079	9.53231e-05	0.000617431	0.0	0.000213553	0.000404793	0.000133789	9.89921e-05	0.00078012	0.000270947	0.000546478	0.000461882	0.000442784	0.000438908	0.000331857	0.000434957	5.2494e-05	0.0	0.000513674	0.0	0.000315174	0.000608902	0.000663572	0.000524881	0.000410991	6.91518e-05	0.000169178	0.000343049	0.000249475	7.94692e-05	7.44628e-05	0.0	0.000386321	0.000291571	0.000398666	9.69942e-05	0.000387658	0.00023007	0.000146253	0.000312267	7.44852e-05	0.000209285	0.000102118	3.52115e-05	0.00044396	0.000279395
CALVIN-PWY:_Calvin-Benson-Bassham_cycle	0.000201148	0.000212679	0.000117137	6.28643e-05	3.83947e-05	0.000284068	0.0	0.000248801	0.000311613	0.000187882	0.000187965	0.000482817	0.000299396	0.000332329	0.000245518	0.000234059	0.000351088	0.000495807	0.000394695	6.89009e-05	0.0	0.000289731	0.0	0.000271397	0.000363001	0.000347128	0.000284981	0.000191641	8.56172e-05	0.000150339	0.000392948	0.000141524	0.000156028	2.70829e-05	0.000193358	0.000317474	0.00019199	0.000301705	0.000134766	0.00016739	0.00044566	0.00014212	0.000383185	8.33042e-05	0.000168435	5.75802e-05	3.13445e-05	0.000353252	0.000277876
CATECHOL-ORTHO-CLEAVAGE-PWY:_catechol_degradation_to_&beta;-ketoadipate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.04454e-05	0.0	0.0	0.0	0.0	3.36858e-06	0.0	0.0	1.69862e-05	0.0	0.0	0.0	0.0	0.0	1.08352e-05	0.0	7.43674e-05	0.0	0.0	0.0	0.0	0.0	1.38145e-06	5.87048e-06	0.0	0.0	0.0	0.0	0.0	0.0	3.89072e-07	0.0	0.0	6.36659e-07	5.34146e-07	3.83641e-06	0.0	0.0	0.0	0.0	1.75873e-07	0.0
CENTFERM-PWY:_pyruvate_fermentation_to_butanoate	0.0	2.73398e-06	3.84843e-06	1.04556e-05	4.02817e-06	1.0313e-05	0.0	0.0	4.08972e-06	1.13218e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.05615e-06	0.0	0.0	0.0	8.72408e-06	0.0	0.0	1.49577e-05	8.38191e-06	1.3725e-05	0.0	0.0	0.0	1.72975e-05	0.0	0.0	0.0	0.0	0.0	0.0	7.18941e-06	5.0281e-06	0.0	1.37615e-05	1.27163e-06	1.97642e-07	9.5025e-07	1.44795e-05	0.0	0.0	8.66655e-06	1.45903e-06
CITRULBIO-PWY:_L-citrulline_biosynthesis	3.82798e-05	4.11241e-05	7.19974e-06	2.80663e-05	5.69356e-05	1.68342e-05	0.0	0.000116273	5.57185e-05	7.45091e-05	2.89199e-05	9.83267e-05	0.000201606	3.74236e-05	1.20676e-05	5.53617e-06	4.79225e-05	2.2734e-05	0.0	1.42556e-05	0.0	4.90679e-05	0.0	4.54433e-05	8.75184e-06	2.39757e-05	7.70641e-06	0.000258113	0.000157914	0.000185715	0.000153317	0.000185237	0.000289889	4.11833e-05	0.000404221	0.000214855	0.000186812	4.4513e-05	5.53728e-05	0.000207518	3.43969e-05	9.61574e-05	0.0002607	2.10572e-05	9.47869e-05	8.42391e-05	1.70748e-06	0.00012362	0.000148246
COA-PWY-1:_coenzyme_A_biosynthesis_II_(mammalian)	0.000184485	0.000276463	0.000164412	0.00012263	9.21968e-05	0.000444488	0.0	0.000249273	0.00031941	0.000210117	0.000208501	0.000685956	0.000252038	0.000256582	0.000174081	0.000317777	0.000318998	0.000403373	0.000334375	6.54352e-05	0.0	0.000351306	0.0	0.000291265	0.000345842	0.000377637	0.000281982	0.000312964	0.000178578	0.0002165	0.000308625	0.000268415	0.000303298	6.07914e-05	0.000497229	0.000320433	0.000235154	0.000364604	0.000138127	0.000348193	0.000487348	0.00015506800000000001	0.000296664	7.77478e-05	0.000194968	8.66162e-05	2.90209e-05	0.000426852	0.000302122
COA-PWY:_coenzyme_A_biosynthesis_I	0.000125239	0.000225941	6.91158e-05	0.000105819	8.13985e-05	0.000212867	0.0	0.000246755	0.000200528	0.000197424	0.000182183	0.000646897	0.000237724	0.000154583	0.000174798	0.000125369	7.35546e-05	0.000405715	0.000213141	3.9789e-05	0.0	0.000261971	0.0	0.000341734	0.000181502	0.00010187	8.63617e-05	0.000295521	0.00017158	0.00017256	0.000267494	0.000237906	0.000293533	5.54766e-05	0.000467717	0.00025762	0.000177785	0.000280024	0.000118943	0.000325043	0.000344931	0.000146978	0.000289029	5.26146e-05	0.00014261	8.16421e-05	2.38049e-05	0.000368269	0.000268242
COBALSYN-PWY:_adenosylcobalamin_salvage_from_cobinamide_I	5.13933e-05	7.22423e-05	2.98565e-05	3.91289e-05	5.04498e-05	7.14325e-05	0.0	0.000143845	6.53723e-05	9.28343e-05	0.0	0.000118184	0.000208206	2.91162e-05	5.01026e-05	3.56844e-05	7.72964e-05	6.803e-05	7.07994e-05	1.48496e-05	0.0	6.95373e-05	0.0	5.02273e-05	6.4437e-05	6.08766e-05	4.77336e-05	0.000156419	0.000177892	0.000171854	0.000203922	0.000152449	0.000289497	2.07232e-05	0.000389441	0.000182729	0.000117608	8.36209e-05	4.34293e-05	0.000121068	4.3515e-05	9.87928e-05	0.000250233	1.64258e-05	8.47739e-05	6.47701e-05	1.11361e-05	0.000334768	0.000192301
COLANSYN-PWY:_colanic_acid_building_blocks_biosynthesis	3.89808e-05	0.000109513	2.69447e-05	4.59766e-05	5.66241e-05	2.26707e-05	0.0	0.000115977	0.000121639	8.88638e-05	9.33533e-05	9.21914e-05	0.000209153	2.56171e-05	0.000105434	6.36004e-05	7.14009e-05	0.000212936	7.64661e-05	2.73851e-06	0.0	9.73993e-05	0.0	0.000151623	7.52787e-06	2.10502e-05	2.69261e-05	0.000109014	2.32222e-05	0.000108267	0.000139277	0.000153747	0.0	2.20302e-05	0.0	0.000243037	0.000156581	0.000153029	5.74366e-05	6.26928e-05	0.000121307	9.16978e-05	0.000230285	1.05947e-06	3.0619e-05	7.46123e-05	7.44559e-06	0.000117848	0.000172562
COMPLETE-ARO-PWY:_superpathway_of_aromatic_amino_acid_biosynthesis	0.000199152	0.000279076	0.000133078	0.000129685	7.33021e-05	0.000580724	0.0	0.000210021	0.000414159	0.000209713	0.000131226	0.000681655	0.00027055	0.000558077	0.000426967	0.000405058	0.00045267	0.000475813	0.000333004	5.07403e-05	0.0	0.000506762	0.0	0.000294521	0.000509822	0.000537203	0.000369464	0.000347593	7.97663e-05	0.000201341	0.000379126	0.000230589	0.000103952	4.13807e-05	0.000202967	0.000337355	0.000270392	0.000370889	0.000138211	0.000336309	0.000330693	0.000163705	0.000305032	6.47981e-05	0.000175279	9.41066e-05	3.50659e-05	0.000446355	0.000265095
CRNFORCAT-PWY:_creatinine_degradation_I	0.0	6.39345e-06	0.0	0.0	0.0	0.0	0.0	2.32563e-05	7.90866e-06	8.89685e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.05318e-05	0.0	0.0	0.0	0.0	1.92542e-05	0.0	0.0	0.0	0.0	9.50064e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.90749e-06	0.0	4.14316e-06	0.0	0.0	0.0	0.0	0.0	0.0	5.78512e-06	0.0	0.0	0.0	0.0
DAPLYSINESYN-PWY:_L-lysine_biosynthesis_I	0.000125857	0.000185076	5.31797e-05	9.12913e-05	8.07652e-05	0.000129072	0.0	0.000221079	0.000171418	4.20501e-05	6.91497e-06	0.000269281	0.000247801	0.000161962	9.1885e-05	0.000142374	0.00015961	0.00021184	0.000170317	2.4609e-05	0.0	0.000291145	0.0	0.000214208	8.4273e-05	0.000141479	4.05401e-05	0.000387566	0.000206126	0.000236359	0.000284759	0.000243251	0.00036218	5.77148e-05	0.000520801	0.000321337	0.000269433	0.000234283	5.35579e-05	0.00031722	0.000112857	0.000142735	0.00029677	3.41429e-05	8.13224e-05	8.61684e-05	1.37735e-05	0.000194267	0.000287129
DENITRIFICATION-PWY:_nitrate_reduction_I_(denitrification)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28342e-05	0.0	0.0	4.88195e-07	0.0	0.0	0.0	0.0	0.0
DENOVOPURINE2-PWY:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_II	0.00013182	0.000192817	3.01639e-05	8.15564e-05	1.95681e-05	0.000306918	0.0	0.0001662	0.000263273	0.00010092	9.31279e-05	0.000714419	1.78294e-05	0.000305977	0.00020373	0.000222394	0.000315964	0.000336419	0.000210766	1.99636e-05	0.0	0.000283514	0.0	0.00029818	0.000343912	0.000155077	0.000218167	0.000293182	5.2273e-06	2.41567e-05	0.000209341	0.000197213	0.0	3.27951e-05	0.0	0.000225866	5.4664e-05	0.000273217	9.31221e-05	0.000272633	0.000185628	0.000129361	3.46631e-05	5.3283e-05	7.87046e-05	4.89313e-05	2.16585e-05	0.000286326	0.000164076
DHGLUCONATE-PYR-CAT-PWY:_glucose_degradation_(oxidative)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.76347e-05	0.0	0.0	0.0	0.0	8.77982e-06	0.0	0.0	1.48722e-05	0.0	0.0	0.0	0.0	0.0	2.60715e-05	0.0	3.46507e-05	0.0	0.0	0.0	0.0	0.0	8.00691e-07	2.63135e-06	0.0	0.0	0.0	0.0	0.0	0.0	6.34439e-07	0.0	0.0	0.0	6.0244e-07	1.14055e-05	0.0	2.40308e-07	0.0	0.0	8.85172e-07	0.0
DTDPRHAMSYN-PWY:_dTDP-L-rhamnose_biosynthesis_I	0.00019359	0.000280326	0.000143188	0.000173209	5.36819e-05	0.000948657	0.0	0.000174174	0.00047866	0.0002816	0.000140388	0.00063079	0.000256135	0.00063784	0.00049574	0.000458472	0.000607918	0.000577116	0.000440987	5.31582e-05	0.0	0.000478929	0.0	0.000188961	0.000621963	0.000770905	0.000514468	0.000264721	9.40281e-06	8.40533e-05	0.000260369	0.000139348	7.80352e-07	3.41059e-05	0.0	0.000208417	0.000193487	0.000305529	0.00011194	0.000238668	0.000383368	0.000267125	0.000290251	6.82873e-05	0.000184678	9.47029e-05	4.52049e-05	0.00071421	0.00026451
ECASYN-PWY:_enterobacterial_common_antigen_biosynthesis	2.05704e-06	2.78411e-05	6.76486e-06	1.90778e-05	6.03383e-05	1.12895e-05	0.0	0.000118694	1.16419e-05	0.0	0.0	6.66483e-05	0.000152708	7.21321e-06	0.0	0.0	1.25437e-05	7.46996e-06	0.0	0.0	0.0	3.59918e-05	0.0	6.16787e-05	1.27758e-06	0.0	0.0	0.000239208	0.0	5.522e-05	0.000102981	0.000111002	0.0	5.36767e-05	0.0	2.98002e-06	9.7544e-05	2.3364e-05	2.51629e-06	0.00016746	8.8907e-06	5.95904e-05	0.000193578	0.0	4.38014e-06	7.03152e-05	1.5819e-06	4.58928e-05	0.000255665
ENTBACSYN-PWY:_enterobactin_biosynthesis	3.96064e-05	9.55094e-05	2.95474e-05	4.70851e-05	0.000110633	7.39999e-05	0.0	0.0002934	7.14556e-05	0.0	0.0	0.000311937	0.000345083	6.1804e-05	2.24398e-05	6.14611e-05	5.06006e-05	3.13356e-05	0.0	0.0	0.0	0.000153394	0.0	0.000213955	0.0	1.35621e-05	2.03712e-05	0.000530279	0.000220602	0.000232964	0.000264552	0.000330209	0.000320535	5.70806e-05	0.000645736	0.000215226	0.000268218	0.000122792	1.90857e-05	0.000436625	4.35289e-05	9.45425e-05	0.000395351	9.45348e-06	3.15261e-05	0.000151792	7.74175e-06	0.00011483	0.000390307
FAO-PWY:_fatty_acid_&beta;-oxidation_I	2.39777e-05	5.04577e-05	2.79081e-05	1.15584e-05	2.56934e-05	5.65546e-05	0.0	0.000137768	4.61796e-05	2.25369e-05	0.0	7.08335e-05	0.000123383	3.26134e-05	3.0403e-05	5.59709e-05	7.04421e-05	2.74715e-05	3.75764e-06	8.04534e-07	0.0	7.20427e-05	0.0	0.000198944	2.96388e-05	2.4173e-05	2.61658e-05	0.000312664	0.000373656	0.000301268	0.000255289	0.000269659	0.000608941	4.16268e-05	0.000763215	0.000374098	0.000228672	5.60943e-05	1.64734e-05	9.18191e-05	4.91915e-05	4.0664e-05	0.000145103	5.57114e-06	2.7276e-05	4.68047e-05	5.1247e-06	9.54049e-05	0.000384218
FASYN-ELONG-PWY:_fatty_acid_elongation_--_saturated	0.000124731	0.000177949	5.98547e-05	8.2024e-05	9.20096e-05	0.000300531	0.0	0.000288926	0.000129006	5.70818e-05	3.67772e-06	0.00034525	0.000373206	0.000184287	0.000247139	0.00018462	0.000215451	0.000106461	4.38051e-05	3.00537e-05	0.0	0.000368618	0.0	0.000367639	0.000246339	3.7265e-05	0.000100602	0.000458536	0.000206806	0.000220938	0.000329638	0.000298442	0.000359321	4.13357e-05	0.000409533	0.000380023	0.000277108	0.00019387	2.89489e-05	0.000396265	0.000100864	0.000143293	0.000434286	2.39878e-05	0.000106265	0.000164594	1.41582e-05	0.000355484	0.000355659
FASYN-INITIAL-PWY:_superpathway_of_fatty_acid_biosynthesis_initiation_(E._coli)	9.14124e-05	0.000140347	4.2374e-05	5.72474e-05	5.01399e-05	0.000201557	0.0	0.000181364	8.80243e-05	4.16732e-05	2.35209e-06	0.000351314	0.000255164	0.000110467	0.000162972	0.000122573	0.000150002	7.03429e-05	2.85322e-05	2.24157e-05	0.0	0.000274508	0.0	0.000377879	0.000163333	2.33685e-05	6.42664e-05	0.000411414	0.000235047	0.000276801	0.000323072	0.000205696	0.000442963	2.86228e-05	0.000592904	0.000392384	0.000242582	0.000147289	2.09331e-05	0.000350494	6.76948e-05	0.000137219	0.000291789	1.7411e-05	8.66901e-05	8.50519e-05	9.26684e-06	0.000344228	0.000176697
FERMENTATION-PWY:_mixed_acid_fermentation	2.31883e-05	9.01642e-05	3.08058e-05	4.71785e-05	8.94036e-05	3.63415e-05	0.0	0.000213353	4.07849e-05	1.6527e-05	0.0	0.00013906	0.000270034	2.06859e-05	5.03833e-05	3.90768e-05	3.25928e-05	4.73707e-05	4.94366e-05	4.91708e-06	0.0	0.000115757	0.0	0.0001126	3.4688e-05	1.29987e-05	2.45978e-05	0.000208751	6.02273e-06	7.44538e-05	0.000194741	0.000222457	4.07202e-07	4.3501e-05	0.0	4.84408e-05	0.000197038	7.60935e-05	2.26071e-05	0.000221306	2.98216e-05	0.000110107	0.00033048	1.2317e-05	1.86429e-05	9.17377e-05	6.30754e-06	0.000110359	0.000274902
